epsilon,sample,theta_1,theta_2_log,summary_clean,summary_observed,summary_mds,npe_mean_baseline,npe_mean_mds,rmse_baseline,rmse_mds,gate_passed,lbfgs_evaluations,adapt_ms
0,44,1.98343014717,-1.81092190742,"[0.16214628517627716, 0.0008406362612731755, 0.6689743399620056]","[0.16214628517627716, 0.0008406362612731755, 0.6689743399620056]","[0.15778064727783203, 0.001050921157002449, 0.6152786016464233]","[1.7151775360107422, -1.7996759414672852]","[1.895888328552246, -1.8154765367507935]",0.189849853516,0.0619851388037,False,9,130.145112984
0,45,0.058616399765,-1.6652970314,"[7.961241245269775, 0.04939938709139824, 0.994186282157898]","[7.961241245269775, 0.04939938709139824, 0.994186282157898]","[7.961241245269775, 0.04939938709139824, 0.994186282157898]","[0.05683910846710205, 1.6635810136795044]","[0.05683910846710205, 1.6635810136795044]",2.35387253761,2.35387253761,True,0,26.3174979482
0,46,1.14946389198,1.57625961304,"[4.870185852050781, 0.0014629727229475975, 0.8183556795120239]","[4.870185852050781, 0.0014629727229475975, 0.8183556795120239]","[4.870185852050781, 0.0014629727229475975, 0.8183556795120239]","[1.174408197402954, 1.5764319896697998]","[1.174408197402954, 1.5764319896697998]",0.0176387075335,0.0176387075335,True,0,17.8745568264
0,47,0.392607212067,1.86805081367,"[7.1897735595703125, 0.01958310790359974, 0.9830988645553589]","[7.1897735595703125, 0.01958310790359974, 0.9830988645553589]","[7.1897735595703125, 0.01958310790359974, 0.9830988645553589]","[0.3899635076522827, 1.8620179891586304]","[0.3899635076522827, 1.8620179891586304]",0.00465747481212,0.00465747481212,True,0,11.1183470581
0,48,0.765691876411,1.41302418709,"[4.346948146820068, 0.00889146514236927, 0.9580507278442383]","[4.346948146820068, 0.00889146514236927, 0.9580507278442383]","[4.346948146820068, 0.00889146514236927, 0.9580507278442383]","[0.7825272083282471, 1.4153566360473633]","[0.7825272083282471, 1.4153566360473633]",0.0120180845261,0.0120180845261,True,0,17.4217680469
0,49,0.854231357574,-0.701244354248,"[0.7606212496757507, 0.012434451840817928, 0.9699401259422302]","[0.7606212496757507, 0.012434451840817928, 0.9699401259422302]","[0.7606212496757507, 0.012434451840817928, 0.9699401259422302]","[0.8566005229949951, -0.6750126481056213]","[0.8566005229949951, -0.6750126481056213]",0.0186241157353,0.0186241157353,True,0,16.9048509561
0.1,0,1.6108019352,0.720744609833,"[2.0634429454803467, 0.000827235693577677, 0.6609132289886475]","[6.963456630706787, 226.45477294921875, 0.9999949932098389]","[1.97352933883667, 0.004073739051818848, 0.7559001445770264]","[0.0650324821472168, -3.5231997966766357]","[1.3777763843536377, 0.6259728670120239]",3.19378018379,0.177880004048,False,47,144.165361999
0.1,1,0.699809908867,1.54831004143,"[4.988616943359375, 0.010461442172527313, 0.9689536094665527]","[9.708211898803711, 211.4311981201172, 0.9999951124191284]","[4.718402862548828, 0.020518863573670387, 0.9568469524383545]","[0.0650324821472168, -3.5231997966766357]","[0.6524852514266968, 1.4324949979782104]",3.61408042908,0.0884667932987,False,33,135.076683946
0.1,2,0.970022797585,-0.134967565536,"[1.0220656394958496, 0.005806857254356146, 0.9348754286766052]","[6.11246395111084, 244.2584228515625, 0.9999960660934448]","[1.0160915851593018, 0.00616934709250927, 0.9441389441490173]","[0.0650324821472168, -3.5231997966766357]","[0.9624489545822144, -0.14415624737739563]",2.47983121872,0.00842006411403,False,33,129.887515912
0.1,3,0.145107030869,0.781837940216,"[6.560544490814209, 0.0865493193268776, 0.9961391091346741]","[11.146170616149902, 200.56521606445312, 0.9999910593032837]","[6.443674087524414, 0.07019349187612534, 0.9926563501358032]","[0.0650324821472168, -3.5231997966766357]","[0.21499598026275635, 1.3797281980514526]",3.04464769363,0.425650805235,False,33,126.920090988
0.1,4,1.04496157169,-1.49887108803,"[0.33641570806503296, 0.0047097718343138695, 0.9291476607322693]","[5.452516078948975, 246.1393280029297, 0.9999966621398926]","[0.39487171173095703, 0.003188442438840866, 0.9140944480895996]","[0.0650324821472168, -3.5231997966766357]","[1.065315842628479, -1.2033507823944092]",1.59030926228,0.209459483624,False,44,131.529749837
0.1,5,1.87544727325,1.14562177658,"[3.144686222076416, 0.0009210541029460728, 0.6545755863189697]","[7.955531120300293, 218.8934783935547, 0.999995768070221]","[3.0105810165405273, 0.004260329529643059, 0.7012741565704346]","[0.0650324821472168, -3.5231997966766357]","[1.5592334270477295, 1.055644154548645]",3.54086828232,0.232472762465,False,33,128.775402904
0.1,6,1.34836030006,0.680509090424,"[1.9966628551483154, 0.001352810300886631, 0.7841481566429138]","[7.051295280456543, 241.1837158203125, 0.9999970197677612]","[2.1979293823242188, 0.003492560237646103, 0.7129814624786377]","[0.0650324821472168, -3.5231997966766357]","[1.5236380100250244, 0.7440509796142578]",3.10790085793,0.131832942367,False,33,131.310679018
0.1,7,1.09356486797,-0.978704452515,"[0.4681086242198944, 0.0035721503663808107, 0.8994497656822205]","[5.6466522216796875, 252.37948608398438, 0.9999961853027344]","[0.6885092258453369, 0.004781344905495644, 0.8490309715270996]","[0.0650324821472168, -3.5231997966766357]","[1.1690791845321655, -0.5296213626861572]",1.94066166878,0.322007775307,False,26,121.494818013
0.1,8,1.77303254604,0.605893611908,"[1.835150957107544, 0.0008660806925036013, 0.6979833841323853]","[6.726197719573975, 225.56346130371094, 0.9999960064888]","[1.823335886001587, 0.002508813515305519, 0.6677606105804443]","[0.0650324821472168, -3.5231997966766357]","[1.7004458904266357, 0.5697348713874817]",3.15964198112,0.0573422908783,False,44,135.426260997
0.1,9,1.64437627792,-0.141121864319,"[0.869411826133728, 0.0008470219327136874, 0.6780110597610474]","[5.918489933013916, 240.2745361328125, 0.9999964237213135]","[0.8904296159744263, 0.002640359103679657, 0.6858983039855957]","[0.0650324821472168, -3.5231997966766357]","[1.640733242034912, -0.16765229403972626]",2.63939166069,0.0189358834177,False,29,131.586991949
0.1,10,1.81752705574,1.46806073189,"[4.339208602905273, 0.0007004767539910972, 0.5883130431175232]","[9.077275276184082, 212.7919158935547, 0.9999964833259583]","[4.087759017944336, 0.0017945710569620132, 0.739273190498352]","[0.0650324821472168, -3.5231997966766357]","[1.4342979192733765, 1.397937536239624]",3.74058270454,0.275483071804,False,36,121.28125201
0.1,11,1.96917140484,-1.06430578232,"[0.34638065099716187, 0.0007956677000038326, 0.6437404155731201]","[5.430088043212891, 243.04286193847656, 0.9999958276748657]","[7.908869743347168, -0.019655989482998848, 0.9234628677368164]","[0.0650324821472168, -3.5231997966766357]","[0.8311126828193665, 2.224008321762085]",2.19907999039,2.46050667763,False,54,146.27364208
0.1,12,1.20067739487,-0.224704742432,"[0.8475859761238098, 0.001659737667068839, 0.8327949047088623]","[5.935032367706299, 243.7028350830078, 0.9999962449073792]","[0.8600685596466064, 0.0019350498914718628, 0.8395307064056396]","[0.0650324821472168, -3.5231997966766357]","[1.2042449712753296, -0.2091384083032608]",2.46675491333,0.0112924398854,False,30,128.005509032
0.1,13,1.18298184872,-1.37688755989,"[0.3058070242404938, 0.0021829346660524607, 0.8417224884033203]","[5.468723773956299, 250.92214965820312, 0.9999956488609314]","[0.5132389068603516, 0.004847431555390358, 0.8179559707641602]","[0.0650324821472168, -3.5231997966766357]","[1.242568850517273, -0.8555120825767517]",1.7112082243,0.371068060398,False,33,123.602225212
0.1,14,1.62843906879,0.58690738678,"[1.8029437065124512, 0.0010181802790611982, 0.7213289737701416]","[6.793720722198486, 234.8319854736328, 0.9999963641166687]","[1.8521559238433838, 0.0029768329113721848, 0.6792073845863342]","[0.0650324821472168, -3.5231997966766357]","[1.6545298099517822, 0.5778082609176636]",3.1094391346,0.0195386912674,False,41,138.991759857
0.1,15,0.626592516899,-1.77805352211,"[0.9059152007102966, 0.04827723279595375, 0.9925979971885681]","[5.956829071044922, 240.57411193847656, 0.9999937415122986]","[1.1115334033966064, 0.03327912464737892, 0.9854227900505066]","[0.0650324821472168, -3.5231997966766357]","[0.6877692937850952, -0.584174633026123]",1.29631888866,0.845307469368,False,44,136.278399965
0.1,16,0.793452739716,-1.22287893295,"[0.6440168023109436, 0.018909724429249763, 0.9810105562210083]","[5.660290718078613, 236.77609252929688, 0.9999951124191284]","[0.6979517936706543, 0.017409881576895714, 0.9740718007087708]","[0.0650324821472168, -3.5231997966766357]","[0.8107556104660034, -0.990263819694519]",1.70617592335,0.164938136935,False,69,165.303962072
0.1,17,0.666797161102,-1.3957092762,"[0.8631208539009094, 0.03754154592752457, 0.9909141063690186]","[5.947283744812012, 243.33941650390625, 0.9999939799308777]","[1.0177613496780396, 0.02779809571802616, 0.9814656376838684]","[0.0650324821472168, -3.5231997966766357]","[0.7239309549331665, -0.6149505972862244]",1.56338357925,0.553555905819,False,42,135.219441028
0.1,18,1.18247234821,1.39818835258,"[4.079082012176514, 0.0017636737320572138, 0.8333531618118286]","[8.806927680969238, 211.63967895507812, 0.9999953508377075]","[4.035429000854492, 0.0005730446428060532, 0.7731236815452576]","[0.0650324821472168, -3.5231997966766357]","[1.3279519081115723, 1.3977652788162231]",3.56852459908,0.10287001729,False,50,136.732127983
0.1,19,0.98117351532,1.01310491562,"[2.8624658584594727, 0.0041602072305977345, 0.9214109778404236]","[7.738272666931152, 224.62814331054688, 0.9999954700469971]","[2.8282055854797363, 0.007686551660299301, 0.8901172876358032]","[0.0650324821472168, -3.5231997966766357]","[1.0012894868850708, 0.9629794955253601]",3.27241277695,0.0381916873157,False,39,136.526836781
0.1,20,1.84160423279,1.96215844154,"[7.11768913269043, 0.0007307734340429306, 0.619502604007721]","[11.643218994140625, 195.32858276367188, 0.9999940991401672]","[6.94876766204834, 0.004260526970028877, 0.9058204889297485]","[0.0650324821472168, -3.5231997966766357]","[0.7890580296516418, 1.9206234216690063]",4.07709217072,0.744841873646,False,44,133.555470034
0.1,21,1.48104608059,-0.0195467472076,"[0.9875261187553406, 0.0011424978729337454, 0.746679425239563]","[6.064250946044922, 242.62857055664062, 0.9999966025352478]","[0.9973869323730469, 0.0026409458369016647, 0.7488393783569336]","[0.0650324821472168, -3.5231997966766357]","[1.4283897876739502, -0.05348516255617142]",2.67214131355,0.0442972965539,False,56,137.268400984
0.1,22,0.526807188988,-1.64075136185,"[1.3216627836227417, 0.07856908440589905, 0.9953161478042603]","[6.368826866149902, 239.91854858398438, 0.9999924302101135]","[1.4475173950195312, 0.06030276417732239, 0.9803304076194763]","[0.0650324821472168, -3.5231997966766357]","[0.5861163139343262, -0.640233039855957]",1.3705561161,0.708715200424,False,39,118.456911063
0.1,23,1.21033799648,0.2413585186,"[1.3195853233337402, 0.001841688179410994, 0.833681046962738]","[6.336962699890137, 237.25814819335938, 0.999996542930603]","[1.3371186256408691, 0.0040541887283325195, 0.808459997177124]","[0.0650324821472168, -3.5231997966766357]","[1.2463109493255615, 0.2204725593328476]",2.78241109848,0.0294132344425,False,29,133.220379008
0.1,24,1.24013137817,1.97806930542,"[7.241131782531738, 0.0011340726632624865, 0.7522823214530945]","[11.71395492553711, 190.84359741210938, 0.9999936819076538]","[7.176833152770996, 0.005338987335562706, 0.9164783954620361]","[0.0650324821472168, -3.5231997966766357]","[0.7214565277099609, 1.9456827640533447]",3.97773933411,0.36747276783,False,48,139.863533899
