epsilon,outlier_y,mds_summary,posterior_kl,kl_over_epsilon
0.01,6.3,5.73457020281e-06,1.64016435965e-09,1.64016435965e-07
0.01,6.4,4.24144858644e-06,8.97251177628e-10,8.97251177628e-08
0.01,6.5,3.12012673639e-06,4.85545678362e-10,4.85545678362e-08
0.01,6.6,2.28301175421e-06,2.59957240393e-10,2.59957240393e-08
0.01,6.7,1.66352203819e-06,1.38020228008e-10,1.38020228008e-08
0.01,6.8,1.20227716917e-06,7.2093286359e-11,7.2093286359e-09
0.01,6.9,8.67911227945e-07,3.75695710521e-11,3.75695710521e-09
0.01,7,5.96969886432e-07,1.77742167235e-11,1.77742167235e-09
0.01,7.1,4.44087325638e-07,9.83608742106e-12,9.83608742106e-10
0.01,7.2,3.12263396966e-07,4.86326329598e-12,4.86326329598e-10
0.01,7.3,2.14445057194e-07,2.29360012744e-12,2.29360012744e-10
0.01,7.4,1.39458617797e-07,9.70010278191e-13,9.70010278191e-11
0.01,7.5,1.08136986451e-07,5.83222336096e-13,5.83222336096e-11
0.01,7.6,5.9219158209e-08,1.74908164538e-13,1.74908164538e-11
0.01,7.7,4.19222809577e-08,8.76547451719e-14,8.76547451719e-12
0.01,7.8,1.19319028283e-08,7.10076334679e-15,7.10076334679e-13
0.01,7.9,1.16302913121e-08,6.74631800525e-15,6.74631800525e-13
0.01,8,9.74885284987e-09,4.74015620391e-15,4.74015620391e-13
0.01,8.1,1.56102697891e-08,1.21536420393e-14,1.21536420393e-12
0.01,8.2,-1.34247887688e-08,8.98877573503e-15,8.98877573503e-13
0.01,8.3,-1.73766974615e-08,1.50598311555e-14,1.50598311555e-12
0.01,8.4,1.94869062307e-08,1.89396266557e-14,1.89396266557e-12
0.01,8.5,-3.97556412157e-09,7.88284792257e-16,7.88284792257e-14
0.01,8.6,9.15438978001e-09,4.17969337877e-15,4.17969337877e-13
0.01,8.7,6.22751610393e-09,1.93426218577e-15,1.93426218577e-13
0.01,8.8,4.21530094076e-09,8.86222544699e-16,8.86222544699e-14
0.01,8.9,2.83903883007e-09,4.02002068761e-16,4.02002068761e-14
0.01,9,1.90255173706e-09,1.80533821057e-16,1.80533821057e-14
0.01,9.1,1.26863588372e-09,8.02711723416e-17,8.02711723416e-15
0.01,9.2,8.41723801972e-10,3.53366064243e-17,3.53366064243e-15
0.01,9.3,5.55695252732e-10,1.54013573022e-17,1.54013573022e-15
0.01,9.4,3.65040349798e-10,6.64610758007e-18,6.64610758007e-16
0.01,9.5,2.38610279411e-10,2.83964416162e-18,2.83964416162e-16
0.01,9.6,1.55199994035e-10,1.20134853608e-18,1.20134853608e-16
0.01,9.7,1.00420071837e-10,5.02952160981e-19,5.02952160981e-17
0.01,9.8,6.46711214111e-11,2.08596206712e-19,2.08596206712e-17
0.01,9.9,4.14468912107e-11,8.56780444403e-20,8.56780444403e-18
0.01,10,2.64368588693e-11,3.48582297694e-20,3.48582297694e-18
0.01,10.1,1.67853040264e-11,1.40521910853e-20,1.40521910853e-18
0.01,10.2,1.06109291244e-11,5.61555196422e-21,5.61555196422e-19
0.01,10.3,6.68123903128e-12,2.22638179517e-21,2.22638179517e-19
0.01,10.4,4.1928978857e-12,8.76827565083e-22,8.76827565083e-20
0.01,10.5,2.62494730918e-12,3.43658273115e-22,3.43658273115e-20
0.01,10.6,1.64221564304e-12,1.34507342555e-22,1.34507342555e-20
0.01,10.7,1.02878634369e-12,5.27880968063e-23,5.27880968063e-21
0.01,10.8,6.47697052745e-13,2.09232654431e-23,2.09232654431e-21
0.01,10.9,4.11813615673e-13,8.45837676077e-24,8.45837676077e-22
